claim_id,family,claim_text,question,company_tickers,fiscal_periods,allowed_source_types,expected_verdict,requires_citation,expected_evidence_count,numeric_check_count,known_distractor_count
phase6:aapl:single_company_trend,single_company_trend,Apple's FY2024 revenue grew versus FY2023.,"Did Apple's FY2024 revenue trend improve versus FY2023, and is the trend backed by filing facts rather than narrative-only evidence?",AAPL,FY2023|FY2024,sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:aapl:cross_company_comparison,cross_company_comparison,Apple's FY2024 operating margin exceeded Microsoft's FY2024 operating margin.,"Was Apple's FY2024 operating margin higher than Microsoft's after normalizing company, period, metric, and unit?",AAPL|MSFT,FY2024,sec_xbrl_companyfacts|sec_filing,support,True,4,2,2
phase6:aapl:management_claim_verification,management_claim_verification,Apple's FY2024 margin expansion was driven by durable operating leverage.,Can Apple's management claim that FY2024 margin expansion was driven by durable operating leverage be fully verified from cited documents?,AAPL,FY2023|FY2024,transcript|sec_xbrl_companyfacts|sec_filing,insufficient,True,3,2,2
phase6:aapl:risk_contradiction,risk_contradiction,Apple's FY2024 risk exposure materially decreased.,Does Apple's FY2024 risk disclosure contradict the claim that its key supply-chain or demand exposure materially decreased?,AAPL,FY2023|FY2024,sec_filing|transcript|sec_xbrl_companyfacts,contradict,True,4,1,2
phase6:aapl:guidance_vs_actuals,guidance_vs_actuals,Apple's FY2024 actual revenue was within the cited guidance range.,Did Apple's FY2024 actual revenue fall within the cited management guidance or analyst-estimate range?,AAPL,FY2024,transcript|analyst_estimates|sec_xbrl_companyfacts,support,True,3,1,2
phase6:aapl:chart_table_reconciliation,chart_table_reconciliation,Apple's FY2024 deck chart reconciles to its reported financial metric.,Does Apple's FY2024 investor-deck chart or table reconcile to the corresponding SEC/XBRL reported metric?,AAPL,FY2024,investor_deck|sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:msft:single_company_trend,single_company_trend,Microsoft's FY2024 revenue grew versus FY2023.,"Did Microsoft's FY2024 revenue trend improve versus FY2023, and is the trend backed by filing facts rather than narrative-only evidence?",MSFT,FY2023|FY2024,sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:msft:cross_company_comparison,cross_company_comparison,Microsoft's FY2024 operating margin exceeded NVIDIA's FY2024 operating margin.,"Was Microsoft's FY2024 operating margin higher than NVIDIA's after normalizing company, period, metric, and unit?",MSFT|NVDA,FY2024,sec_xbrl_companyfacts|sec_filing,support,True,4,2,2
phase6:msft:management_claim_verification,management_claim_verification,Microsoft's FY2024 margin expansion was driven by durable operating leverage.,Can Microsoft's management claim that FY2024 margin expansion was driven by durable operating leverage be fully verified from cited documents?,MSFT,FY2023|FY2024,transcript|sec_xbrl_companyfacts|sec_filing,insufficient,True,3,2,2
phase6:msft:risk_contradiction,risk_contradiction,Microsoft's FY2024 risk exposure materially decreased.,Does Microsoft's FY2024 risk disclosure contradict the claim that its key supply-chain or demand exposure materially decreased?,MSFT,FY2023|FY2024,sec_filing|transcript|sec_xbrl_companyfacts,contradict,True,4,1,2
phase6:msft:guidance_vs_actuals,guidance_vs_actuals,Microsoft's FY2024 actual revenue was within the cited guidance range.,Did Microsoft's FY2024 actual revenue fall within the cited management guidance or analyst-estimate range?,MSFT,FY2024,transcript|analyst_estimates|sec_xbrl_companyfacts,support,True,3,1,2
phase6:msft:chart_table_reconciliation,chart_table_reconciliation,Microsoft's FY2024 deck chart reconciles to its reported financial metric.,Does Microsoft's FY2024 investor-deck chart or table reconcile to the corresponding SEC/XBRL reported metric?,MSFT,FY2024,investor_deck|sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:nvda:single_company_trend,single_company_trend,NVIDIA's FY2024 revenue grew versus FY2023.,"Did NVIDIA's FY2024 revenue trend improve versus FY2023, and is the trend backed by filing facts rather than narrative-only evidence?",NVDA,FY2023|FY2024,sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:nvda:cross_company_comparison,cross_company_comparison,NVIDIA's FY2024 operating margin exceeded Amazon's FY2024 operating margin.,"Was NVIDIA's FY2024 operating margin higher than Amazon's after normalizing company, period, metric, and unit?",NVDA|AMZN,FY2024,sec_xbrl_companyfacts|sec_filing,support,True,4,2,2
phase6:nvda:management_claim_verification,management_claim_verification,NVIDIA's FY2024 margin expansion was driven by durable operating leverage.,Can NVIDIA's management claim that FY2024 margin expansion was driven by durable operating leverage be fully verified from cited documents?,NVDA,FY2023|FY2024,transcript|sec_xbrl_companyfacts|sec_filing,insufficient,True,3,2,2
phase6:nvda:risk_contradiction,risk_contradiction,NVIDIA's FY2024 risk exposure materially decreased.,Does NVIDIA's FY2024 risk disclosure contradict the claim that its key supply-chain or demand exposure materially decreased?,NVDA,FY2023|FY2024,sec_filing|transcript|sec_xbrl_companyfacts,contradict,True,4,1,2
phase6:nvda:guidance_vs_actuals,guidance_vs_actuals,NVIDIA's FY2024 actual revenue was within the cited guidance range.,Did NVIDIA's FY2024 actual revenue fall within the cited management guidance or analyst-estimate range?,NVDA,FY2024,transcript|analyst_estimates|sec_xbrl_companyfacts,support,True,3,1,2
phase6:nvda:chart_table_reconciliation,chart_table_reconciliation,NVIDIA's FY2024 deck chart reconciles to its reported financial metric.,Does NVIDIA's FY2024 investor-deck chart or table reconcile to the corresponding SEC/XBRL reported metric?,NVDA,FY2024,investor_deck|sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:amzn:single_company_trend,single_company_trend,Amazon's FY2024 revenue grew versus FY2023.,"Did Amazon's FY2024 revenue trend improve versus FY2023, and is the trend backed by filing facts rather than narrative-only evidence?",AMZN,FY2023|FY2024,sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:amzn:cross_company_comparison,cross_company_comparison,Amazon's FY2024 operating margin exceeded Alphabet's FY2024 operating margin.,"Was Amazon's FY2024 operating margin higher than Alphabet's after normalizing company, period, metric, and unit?",AMZN|GOOGL,FY2024,sec_xbrl_companyfacts|sec_filing,support,True,4,2,2
phase6:amzn:management_claim_verification,management_claim_verification,Amazon's FY2024 margin expansion was driven by durable operating leverage.,Can Amazon's management claim that FY2024 margin expansion was driven by durable operating leverage be fully verified from cited documents?,AMZN,FY2023|FY2024,transcript|sec_xbrl_companyfacts|sec_filing,insufficient,True,3,2,2
phase6:amzn:risk_contradiction,risk_contradiction,Amazon's FY2024 risk exposure materially decreased.,Does Amazon's FY2024 risk disclosure contradict the claim that its key supply-chain or demand exposure materially decreased?,AMZN,FY2023|FY2024,sec_filing|transcript|sec_xbrl_companyfacts,contradict,True,4,1,2
phase6:amzn:guidance_vs_actuals,guidance_vs_actuals,Amazon's FY2024 actual revenue was within the cited guidance range.,Did Amazon's FY2024 actual revenue fall within the cited management guidance or analyst-estimate range?,AMZN,FY2024,transcript|analyst_estimates|sec_xbrl_companyfacts,support,True,3,1,2
phase6:amzn:chart_table_reconciliation,chart_table_reconciliation,Amazon's FY2024 deck chart reconciles to its reported financial metric.,Does Amazon's FY2024 investor-deck chart or table reconcile to the corresponding SEC/XBRL reported metric?,AMZN,FY2024,investor_deck|sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:googl:single_company_trend,single_company_trend,Alphabet's FY2024 revenue grew versus FY2023.,"Did Alphabet's FY2024 revenue trend improve versus FY2023, and is the trend backed by filing facts rather than narrative-only evidence?",GOOGL,FY2023|FY2024,sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:googl:cross_company_comparison,cross_company_comparison,Alphabet's FY2024 operating margin exceeded Meta's FY2024 operating margin.,"Was Alphabet's FY2024 operating margin higher than Meta's after normalizing company, period, metric, and unit?",GOOGL|META,FY2024,sec_xbrl_companyfacts|sec_filing,support,True,4,2,2
phase6:googl:management_claim_verification,management_claim_verification,Alphabet's FY2024 margin expansion was driven by durable operating leverage.,Can Alphabet's management claim that FY2024 margin expansion was driven by durable operating leverage be fully verified from cited documents?,GOOGL,FY2023|FY2024,transcript|sec_xbrl_companyfacts|sec_filing,insufficient,True,3,2,2
phase6:googl:risk_contradiction,risk_contradiction,Alphabet's FY2024 risk exposure materially decreased.,Does Alphabet's FY2024 risk disclosure contradict the claim that its key supply-chain or demand exposure materially decreased?,GOOGL,FY2023|FY2024,sec_filing|transcript|sec_xbrl_companyfacts,contradict,True,4,1,2
phase6:googl:guidance_vs_actuals,guidance_vs_actuals,Alphabet's FY2024 actual revenue was within the cited guidance range.,Did Alphabet's FY2024 actual revenue fall within the cited management guidance or analyst-estimate range?,GOOGL,FY2024,transcript|analyst_estimates|sec_xbrl_companyfacts,support,True,3,1,2
phase6:googl:chart_table_reconciliation,chart_table_reconciliation,Alphabet's FY2024 deck chart reconciles to its reported financial metric.,Does Alphabet's FY2024 investor-deck chart or table reconcile to the corresponding SEC/XBRL reported metric?,GOOGL,FY2024,investor_deck|sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:meta:single_company_trend,single_company_trend,Meta's FY2024 revenue grew versus FY2023.,"Did Meta's FY2024 revenue trend improve versus FY2023, and is the trend backed by filing facts rather than narrative-only evidence?",META,FY2023|FY2024,sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:meta:cross_company_comparison,cross_company_comparison,Meta's FY2024 operating margin exceeded JPMorgan Chase's FY2024 operating margin.,"Was Meta's FY2024 operating margin higher than JPMorgan Chase's after normalizing company, period, metric, and unit?",META|JPM,FY2024,sec_xbrl_companyfacts|sec_filing,support,True,4,2,2
phase6:meta:management_claim_verification,management_claim_verification,Meta's FY2024 margin expansion was driven by durable operating leverage.,Can Meta's management claim that FY2024 margin expansion was driven by durable operating leverage be fully verified from cited documents?,META,FY2023|FY2024,transcript|sec_xbrl_companyfacts|sec_filing,insufficient,True,3,2,2
phase6:meta:risk_contradiction,risk_contradiction,Meta's FY2024 risk exposure materially decreased.,Does Meta's FY2024 risk disclosure contradict the claim that its key supply-chain or demand exposure materially decreased?,META,FY2023|FY2024,sec_filing|transcript|sec_xbrl_companyfacts,contradict,True,4,1,2
phase6:meta:guidance_vs_actuals,guidance_vs_actuals,Meta's FY2024 actual revenue was within the cited guidance range.,Did Meta's FY2024 actual revenue fall within the cited management guidance or analyst-estimate range?,META,FY2024,transcript|analyst_estimates|sec_xbrl_companyfacts,support,True,3,1,2
phase6:meta:chart_table_reconciliation,chart_table_reconciliation,Meta's FY2024 deck chart reconciles to its reported financial metric.,Does Meta's FY2024 investor-deck chart or table reconcile to the corresponding SEC/XBRL reported metric?,META,FY2024,investor_deck|sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:jpm:single_company_trend,single_company_trend,JPMorgan Chase's FY2024 revenue grew versus FY2023.,"Did JPMorgan Chase's FY2024 revenue trend improve versus FY2023, and is the trend backed by filing facts rather than narrative-only evidence?",JPM,FY2023|FY2024,sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:jpm:cross_company_comparison,cross_company_comparison,JPMorgan Chase's FY2024 operating margin exceeded Walmart's FY2024 operating margin.,"Was JPMorgan Chase's FY2024 operating margin higher than Walmart's after normalizing company, period, metric, and unit?",JPM|WMT,FY2024,sec_xbrl_companyfacts|sec_filing,support,True,4,2,2
phase6:jpm:management_claim_verification,management_claim_verification,JPMorgan Chase's FY2024 margin expansion was driven by durable operating leverage.,Can JPMorgan Chase's management claim that FY2024 margin expansion was driven by durable operating leverage be fully verified from cited documents?,JPM,FY2023|FY2024,transcript|sec_xbrl_companyfacts|sec_filing,insufficient,True,3,2,2
phase6:jpm:risk_contradiction,risk_contradiction,JPMorgan Chase's FY2024 risk exposure materially decreased.,Does JPMorgan Chase's FY2024 risk disclosure contradict the claim that its key supply-chain or demand exposure materially decreased?,JPM,FY2023|FY2024,sec_filing|transcript|sec_xbrl_companyfacts,contradict,True,4,1,2
phase6:jpm:guidance_vs_actuals,guidance_vs_actuals,JPMorgan Chase's FY2024 actual revenue was within the cited guidance range.,Did JPMorgan Chase's FY2024 actual revenue fall within the cited management guidance or analyst-estimate range?,JPM,FY2024,transcript|analyst_estimates|sec_xbrl_companyfacts,support,True,3,1,2
phase6:jpm:chart_table_reconciliation,chart_table_reconciliation,JPMorgan Chase's FY2024 deck chart reconciles to its reported financial metric.,Does JPMorgan Chase's FY2024 investor-deck chart or table reconcile to the corresponding SEC/XBRL reported metric?,JPM,FY2024,investor_deck|sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:wmt:single_company_trend,single_company_trend,Walmart's FY2024 revenue grew versus FY2023.,"Did Walmart's FY2024 revenue trend improve versus FY2023, and is the trend backed by filing facts rather than narrative-only evidence?",WMT,FY2023|FY2024,sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:wmt:cross_company_comparison,cross_company_comparison,Walmart's FY2024 operating margin exceeded Tesla's FY2024 operating margin.,"Was Walmart's FY2024 operating margin higher than Tesla's after normalizing company, period, metric, and unit?",WMT|TSLA,FY2024,sec_xbrl_companyfacts|sec_filing,support,True,4,2,2
phase6:wmt:management_claim_verification,management_claim_verification,Walmart's FY2024 margin expansion was driven by durable operating leverage.,Can Walmart's management claim that FY2024 margin expansion was driven by durable operating leverage be fully verified from cited documents?,WMT,FY2023|FY2024,transcript|sec_xbrl_companyfacts|sec_filing,insufficient,True,3,2,2
phase6:wmt:risk_contradiction,risk_contradiction,Walmart's FY2024 risk exposure materially decreased.,Does Walmart's FY2024 risk disclosure contradict the claim that its key supply-chain or demand exposure materially decreased?,WMT,FY2023|FY2024,sec_filing|transcript|sec_xbrl_companyfacts,contradict,True,4,1,2
phase6:wmt:guidance_vs_actuals,guidance_vs_actuals,Walmart's FY2024 actual revenue was within the cited guidance range.,Did Walmart's FY2024 actual revenue fall within the cited management guidance or analyst-estimate range?,WMT,FY2024,transcript|analyst_estimates|sec_xbrl_companyfacts,support,True,3,1,2
phase6:wmt:chart_table_reconciliation,chart_table_reconciliation,Walmart's FY2024 deck chart reconciles to its reported financial metric.,Does Walmart's FY2024 investor-deck chart or table reconcile to the corresponding SEC/XBRL reported metric?,WMT,FY2024,investor_deck|sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:tsla:single_company_trend,single_company_trend,Tesla's FY2024 revenue grew versus FY2023.,"Did Tesla's FY2024 revenue trend improve versus FY2023, and is the trend backed by filing facts rather than narrative-only evidence?",TSLA,FY2023|FY2024,sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:tsla:cross_company_comparison,cross_company_comparison,Tesla's FY2024 operating margin exceeded Netflix's FY2024 operating margin.,"Was Tesla's FY2024 operating margin higher than Netflix's after normalizing company, period, metric, and unit?",TSLA|NFLX,FY2024,sec_xbrl_companyfacts|sec_filing,support,True,4,2,2
phase6:tsla:management_claim_verification,management_claim_verification,Tesla's FY2024 margin expansion was driven by durable operating leverage.,Can Tesla's management claim that FY2024 margin expansion was driven by durable operating leverage be fully verified from cited documents?,TSLA,FY2023|FY2024,transcript|sec_xbrl_companyfacts|sec_filing,insufficient,True,3,2,2
phase6:tsla:risk_contradiction,risk_contradiction,Tesla's FY2024 risk exposure materially decreased.,Does Tesla's FY2024 risk disclosure contradict the claim that its key supply-chain or demand exposure materially decreased?,TSLA,FY2023|FY2024,sec_filing|transcript|sec_xbrl_companyfacts,contradict,True,4,1,2
phase6:tsla:guidance_vs_actuals,guidance_vs_actuals,Tesla's FY2024 actual revenue was within the cited guidance range.,Did Tesla's FY2024 actual revenue fall within the cited management guidance or analyst-estimate range?,TSLA,FY2024,transcript|analyst_estimates|sec_xbrl_companyfacts,support,True,3,1,2
phase6:tsla:chart_table_reconciliation,chart_table_reconciliation,Tesla's FY2024 deck chart reconciles to its reported financial metric.,Does Tesla's FY2024 investor-deck chart or table reconcile to the corresponding SEC/XBRL reported metric?,TSLA,FY2024,investor_deck|sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:nflx:single_company_trend,single_company_trend,Netflix's FY2024 revenue grew versus FY2023.,"Did Netflix's FY2024 revenue trend improve versus FY2023, and is the trend backed by filing facts rather than narrative-only evidence?",NFLX,FY2023|FY2024,sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:nflx:cross_company_comparison,cross_company_comparison,Netflix's FY2024 operating margin exceeded Apple's FY2024 operating margin.,"Was Netflix's FY2024 operating margin higher than Apple's after normalizing company, period, metric, and unit?",NFLX|AAPL,FY2024,sec_xbrl_companyfacts|sec_filing,support,True,4,2,2
phase6:nflx:management_claim_verification,management_claim_verification,Netflix's FY2024 margin expansion was driven by durable operating leverage.,Can Netflix's management claim that FY2024 margin expansion was driven by durable operating leverage be fully verified from cited documents?,NFLX,FY2023|FY2024,transcript|sec_xbrl_companyfacts|sec_filing,insufficient,True,3,2,2
phase6:nflx:risk_contradiction,risk_contradiction,Netflix's FY2024 risk exposure materially decreased.,Does Netflix's FY2024 risk disclosure contradict the claim that its key supply-chain or demand exposure materially decreased?,NFLX,FY2023|FY2024,sec_filing|transcript|sec_xbrl_companyfacts,contradict,True,4,1,2
phase6:nflx:guidance_vs_actuals,guidance_vs_actuals,Netflix's FY2024 actual revenue was within the cited guidance range.,Did Netflix's FY2024 actual revenue fall within the cited management guidance or analyst-estimate range?,NFLX,FY2024,transcript|analyst_estimates|sec_xbrl_companyfacts,support,True,3,1,2
phase6:nflx:chart_table_reconciliation,chart_table_reconciliation,Netflix's FY2024 deck chart reconciles to its reported financial metric.,Does Netflix's FY2024 investor-deck chart or table reconcile to the corresponding SEC/XBRL reported metric?,NFLX,FY2024,investor_deck|sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
